dataset,neuron,mean,cov,mean_std,cov_std,mean_0,mean_1,mean_2,mean_3,mean_4,cov_0,cov_1,cov_2,cov_3,cov_4,jitter_0,jitter_1,jitter_2,jitter_3,jitter_4,jitter,single_trial_correlation,cell_id
Dataset 05,620,[-0.41 -0.66],"[[ 0.19 -0.06]
 [-0.08  0.03]]",[0.73 0.49],"[[0.14 0.09]
 [0.07 0.09]]",[-1. -1.],[-0.98 -0.95],[-1. -1.],[ 0.64 -0.62],[0.3  0.27],"[[ 0.2  -0.13]
 [-0.12  0.03]]","[[ 0.06  0.01]
 [-0.2  -0.08]]","[[ 0.38 -0.21]
 [-0.05  0.19]]","[[ 0.28  0.01]
 [-0.04  0.03]]","[[ 0.01  0.  ]
 [-0.01 -0.03]]",[ 0.04 -0.05],[-0.05 -0.05],[ 0.04 -0.05],[ 0.05 -0.05],[-0.05 -0.05],[0.05 0.  ],0.25029305,LPE10885_2023_10_20_1_0270
Dataset 05,621,[-0.49 -0.66],"[[ 0.04  0.02]
 [ 0.01 -0.04]]",[0.66 0.49],"[[0.06 0.04]
 [0.02 0.06]]",[-1. -1.],[-0.99 -0.98],[-1.   -0.99],[ 0.63 -0.61],[-0.11  0.27],"[[ 0.01  0.  ]
 [ 0.04 -0.05]]","[[-0.02  0.02]
 [ 0.03  0.06]]","[[ 0.13  0.01]
 [ 0.02 -0.07]]","[[ 0.09  0.09]
 [-0.01 -0.14]]","[[-0.01 -0.02]
 [-0.01 -0.02]]",[-0.05  0.05],[-0.05  0.05],[-0.02 -0.05],[-0.05  0.05],[-0.05 -0.01],[0.01 0.04],0.31074154,LPE10885_2023_10_20_1_0271
Dataset 05,622,[-0.42 -0.64],"[[ 0.01  0.05]
 [-0.    0.02]]",[0.7  0.48],"[[0.02 0.16]
 [0.03 0.02]]",[-1. -1.],[-0.98 -0.95],[-1.   -0.95],[ 0.56 -0.56],[0.32 0.28],"[[ 0.02 -0.  ]
 [ 0.01  0.02]]","[[-0.02 -0.02]
 [-0.04  0.02]]","[[ 0.04 -0.1 ]
 [-0.03 -0.01]]","[[0.01 0.35]
 [0.05 0.06]]","[[ 0.    0.01]
 [-0.    0.02]]",[0.05 0.05],[-0.05  0.05],[-0.01 -0.05],[ 0.01 -0.05],[-0.03 -0.05],[0.04 0.05],0.45209694,LPE10885_2023_10_20_1_0272
Dataset 05,623,[-0.4  -0.66],"[[-0.01  0.03]
 [ 0.02  0.01]]",[0.73 0.49],"[[0.03 0.05]
 [0.06 0.03]]",[-1. -1.],[-0.97 -0.95],[-1. -1.],[ 0.66 -0.63],[0.32 0.28],"[[-0.03 -0.02]
 [-0.   -0.  ]]","[[-0.02  0.11]
 [-0.01  0.03]]","[[-0.05  0.  ]
 [ 0.14  0.05]]","[[ 0.04  0.06]
 [ 0.   -0.02]]","[[-0.01  0.  ]
 [-0.01 -0.01]]",[0.05 0.04],[ 0.03 -0.05],[-0.05 -0.05],[ 0.05 -0.05],[-0.05  0.05],[0.05 0.05],0.43551114,LPE10885_2023_10_20_1_0277
Dataset 05,624,[-0.48 -0.66],"[[ 0.    0.03]
 [-0.03 -0.01]]",[0.66 0.49],"[[0.06 0.07]
 [0.06 0.01]]",[-1. -1.],[-0.99 -0.97],[-1.   -0.99],[ 0.62 -0.6 ],[-0.05  0.27],"[[ 0.12  0.04]
 [-0.05 -0.01]]","[[ 0.02  0.14]
 [ 0.05 -0.01]]","[[-0.02  0.05]
 [-0.13 -0.02]]","[[-0.06 -0.07]
 [ 0.01 -0.  ]]","[[-0.04 -0.02]
 [-0.02 -0.01]]",[-0.05  0.02],[-0.02 -0.05],[-0.05 -0.05],[ 0.05 -0.05],[-0.05  0.  ],[0.04 0.03],0.377469,LPE10885_2023_10_20_1_0279
Dataset 05,625,[-0.41 -0.64],"[[0.02 0.08]
 [0.02 0.03]]",[0.71 0.48],"[[0.05 0.05]
 [0.1  0.08]]",[-1. -1.],[-0.97 -0.94],[-1.   -0.95],[ 0.58 -0.58],[0.32 0.28],"[[-0.    0.1 ]
 [ 0.03  0.01]]","[[ 0.12  0.08]
 [-0.05  0.03]]","[[-0.03  0.04]
 [ 0.21  0.16]]","[[ 0.02  0.16]
 [-0.08 -0.07]]","[[-0.01  0.02]
 [-0.02  0.  ]]",[ 0.05 -0.01],[-0.05  0.  ],[-0.03 -0.05],[-0.02  0.05],[ 0.05 -0.05],[0.04 0.04],0.13257547,LPE10885_2023_10_20_1_0280
Dataset 05,626,[-0.49 -0.66],"[[-0.07 -0.06]
 [-0.01 -0.01]]",[0.65 0.49],"[[0.09 0.05]
 [0.05 0.06]]",[-1. -1.],[-0.99 -0.98],[-1.   -0.99],[ 0.61 -0.6 ],[-0.1   0.27],"[[ 0.02 -0.07]
 [ 0.06 -0.08]]","[[-0.14 -0.01]
 [ 0.02  0.08]]","[[-0.21 -0.1 ]
 [-0.07 -0.05]]","[[-0.05 -0.12]
 [-0.04 -0.05]]","[[ 0.   -0.  ]
 [-0.01  0.05]]",[-0.05  0.05],[ 0.01 -0.05],[-0.05 -0.04],[ 0.05 -0.05],[-0.05 -0.05],[0.04 0.04],0.27323583,LPE10885_2023_10_20_1_0281
Dataset 05,627,[-0.44 -0.64],"[[-0.02 -0.03]
 [ 0.    0.01]]",[0.68 0.49],"[[0.03 0.09]
 [0.07 0.1 ]]",[-1. -1.],[-0.98 -0.96],[-1.   -0.98],[ 0.54 -0.55],[0.22 0.28],"[[-0.01 -0.03]
 [-0.02 -0.04]]","[[-0.08  0.1 ]
 [ 0.09 -0.03]]","[[ 0.   -0.05]
 [-0.12  0.22]]","[[ 0.02 -0.17]
 [ 0.04 -0.01]]","[[-0.03  0.01]
 [ 0.01 -0.06]]",[ 0.05 -0.05],[-0.05 -0.01],[-0.05 -0.02],[ 0.05 -0.05],[ 0.05 -0.01],[0.05 0.02],0.28475702,LPE10885_2023_10_20_1_0284
Dataset 05,628,[-0.46 -0.64],"[[ 0.    0.05]
 [ 0.02 -0.08]]",[0.67 0.5 ],"[[0.03 0.05]
 [0.04 0.12]]",[-1. -1.],[-0.99 -0.97],[-1.   -0.98],[ 0.55 -0.56],[0.14 0.3 ],"[[-0.04 -0.  ]
 [ 0.07 -0.3 ]]","[[ 0.06  0.07]
 [-0.03 -0.1 ]]","[[0.   0.06]
 [0.07 0.07]]","[[ 0.    0.12]
 [ 0.01 -0.05]]","[[ 0.    0.  ]
 [-0.02 -0.02]]",[-0.05  0.01],[ 0.04 -0.05],[-0.05 -0.05],[ 0.05 -0.05],[0.05 0.05],[0.05 0.04],0.13376087,LPE10885_2023_10_20_1_0285
Dataset 05,629,[-0.41 -0.64],"[[0.02 0.  ]
 [0.03 0.02]]",[0.71 0.48],"[[0.12 0.1 ]
 [0.06 0.06]]",[-1. -1.],[-0.97 -0.95],[-1.   -0.94],[ 0.58 -0.58],[0.32 0.28],"[[-0.06 -0.04]
 [-0.    0.02]]","[[ 0.01 -0.16]
 [ 0.02  0.09]]","[[-0.08  0.14]
 [ 0.16 -0.06]]","[[0.25 0.06]
 [0.03 0.07]]","[[ 0.01  0.  ]
 [-0.03 -0.01]]",[ 0.05 -0.05],[-0.05  0.04],[-0.05 -0.05],[0.05 0.04],[0.05 0.05],[0.05 0.05],0.34982145,LPE10885_2023_10_20_1_0286
