dataset,neuron,mean,cov,mean_std,cov_std,mean_0,mean_1,mean_2,mean_3,mean_4,cov_0,cov_1,cov_2,cov_3,cov_4,jitter_0,jitter_1,jitter_2,jitter_3,jitter_4,jitter,single_trial_correlation,cell_id
Dataset 05,257,[-0.5  -0.66],"[[-0.02 -0.  ]
 [-0.08 -0.04]]",[0.65 0.49],"[[0.03 0.06]
 [0.04 0.07]]",[-1. -1.],[-0.99 -0.98],[-1.   -0.99],[ 0.62 -0.6 ],[-0.11  0.27],"[[ 0.01  0.06]
 [-0.03  0.01]]","[[-0.02 -0.02]
 [-0.14 -0.15]]","[[-0.08 -0.1 ]
 [-0.12 -0.08]]","[[-0.04  0.06]
 [-0.05  0.01]]","[[-0.   -0.01]
 [-0.06  0.04]]",[-0.05  0.03],[-0.04 -0.05],[ 0.04 -0.03],[-0.05 -0.05],[-0.02  0.05],[0.04 0.04],0.5708026,LPE10885_2023_10_20_0_0280
Dataset 05,258,[-0.47 -0.64],"[[-0.01 -0.05]
 [-0.02  0.01]]",[0.66 0.5 ],"[[0.06 0.07]
 [0.07 0.04]]",[-1. -1.],[-0.99 -0.97],[-1.   -0.99],[ 0.54 -0.55],[0.08 0.31],"[[-0.03 -0.05]
 [-0.05 -0.03]]","[[ 0.08  0.07]
 [-0.12  0.09]]","[[ 0.02 -0.06]
 [ 0.08  0.01]]","[[-0.12 -0.16]
 [ 0.02  0.01]]","[[-0.01 -0.04]
 [-0.06 -0.04]]",[-0.05 -0.04],[-0.03 -0.05],[-0.03 -0.05],[-0.04 -0.04],[-0.05 -0.01],[0.01 0.01],0.3083133,LPE10885_2023_10_20_0_0281
Dataset 05,259,[-0.42 -0.64],"[[ 0.03  0.02]
 [ 0.05 -0.01]]",[0.71 0.48],"[[0.08 0.03]
 [0.03 0.03]]",[-1. -1.],[-0.97 -0.95],[-1.   -0.94],[ 0.57 -0.57],[0.32 0.28],"[[0.03 0.01]
 [0.01 0.  ]]","[[ 0.15 -0.01]
 [ 0.1   0.04]]","[[ 0.06  0.05]
 [ 0.05 -0.05]]","[[-0.1   0.06]
 [ 0.06 -0.03]]","[[ 0.01  0.  ]
 [ 0.04 -0.03]]",[-0.05 -0.05],[-0.05 -0.05],[ 0.05 -0.04],[-0.05  0.05],[-0.05 -0.  ],[0.04 0.04],0.49240148,LPE10885_2023_10_20_0_0283
Dataset 05,260,[-0.43 -0.64],"[[ 0.02 -0.1 ]
 [-0.07  0.  ]]",[0.7  0.49],"[[0.07 0.14]
 [0.04 0.04]]",[-1. -1.],[-0.98 -0.96],[-1.   -0.97],[ 0.55 -0.56],[0.29 0.28],"[[-0.01 -0.01]
 [-0.02  0.02]]","[[ 0.15 -0.13]
 [-0.1   0.03]]","[[-0.07  0.01]
 [-0.1   0.05]]","[[ 0.03 -0.37]
 [-0.1  -0.07]]","[[-0.   -0.02]
 [-0.01 -0.03]]",[-0.05 -0.04],[0.04 0.05],[-0.03 -0.05],[ 0.02 -0.03],[-0.02  0.04],[0.03 0.04],0.5009769,LPE10885_2023_10_20_0_0284
Dataset 05,261,[-0.41 -0.64],"[[ 0.07 -0.01]
 [ 0.01 -0.01]]",[0.71 0.48],"[[0.13 0.11]
 [0.04 0.06]]",[-1. -1.],[-0.97 -0.94],[-1.   -0.95],[ 0.59 -0.58],[0.32 0.28],"[[ 0.05 -0.01]
 [-0.01 -0.01]]","[[-0.01 -0.04]
 [-0.03 -0.06]]","[[-0.03 -0.17]
 [-0.01  0.1 ]]","[[ 0.32  0.17]
 [ 0.08 -0.07]]","[[ 0.03 -0.02]
 [ 0.02 -0.  ]]",[ 0.05 -0.02],[0.05 0.05],[-0.01 -0.05],[0.05 0.05],[ 0.03 -0.05],[0.03 0.05],0.4692571,LPE10885_2023_10_20_0_0285
Dataset 05,262,[-0.42 -0.67],"[[ 0.05 -0.04]
 [-0.01  0.07]]",[0.71 0.48],"[[0.07 0.06]
 [0.07 0.05]]",[-1. -1.],[-0.98 -0.96],[-1. -1.],[ 0.66 -0.63],[0.2  0.25],"[[ 0.    0.04]
 [-0.04  0.02]]","[[ 0.16 -0.07]
 [-0.13  0.12]]","[[ 0.09 -0.06]
 [ 0.1   0.13]]","[[-0.02 -0.11]
 [ 0.    0.03]]","[[-0.    0.01]
 [ 0.01  0.03]]",[-0.04  0.05],[-0.03  0.02],[-0.05 -0.05],[-0.05 -0.05],[-0.05  0.03],[0.01 0.04],0.32299322,LPE10885_2023_10_20_0_0286
Dataset 05,263,[-0.42 -0.64],"[[0.   0.01]
 [0.01 0.  ]]",[0.71 0.49],"[[0.02 0.03]
 [0.05 0.03]]",[-1. -1.],[-0.98 -0.95],[-1.   -0.96],[ 0.57 -0.57],[0.32 0.28],"[[-0.01 -0.03]
 [ 0.01  0.02]]","[[-0.03  0.05]
 [-0.05  0.03]]","[[ 0.01 -0.02]
 [ 0.1  -0.04]]","[[ 0.04  0.05]
 [-0.   -0.02]]","[[-0.    0.  ]
 [ 0.    0.02]]",[-0.05 -0.05],[-0.05  0.05],[-0.05 -0.05],[0.05 0.05],[-0.05  0.05],[0.04 0.05],0.043221373,LPE10885_2023_10_20_0_0287
Dataset 05,264,[-0.44 -0.67],"[[-0.11 -0.03]
 [ 0.01 -0.01]]",[0.7  0.48],"[[0.09 0.04]
 [0.04 0.04]]",[-1. -1.],[-0.98 -0.96],[-1. -1.],[ 0.65 -0.62],[0.15 0.25],"[[-0.02  0.03]
 [-0.01 -0.03]]","[[-0.28 -0.1 ]
 [ 0.06  0.04]]","[[-0.08 -0.01]
 [ 0.04 -0.01]]","[[-0.11 -0.04]
 [-0.04 -0.07]]","[[-0.03 -0.01]
 [-0.01  0.01]]",[ 0.05 -0.05],[ 0.05 -0.05],[0.02 0.05],[ 0.04 -0.05],[0.05 0.01],[0.01 0.04],0.28382924,LPE10885_2023_10_20_0_0288
Dataset 05,265,[-0.41 -0.64],"[[ 0.01 -0.06]
 [-0.03 -0.02]]",[0.71 0.48],"[[0.04 0.11]
 [0.08 0.11]]",[-1. -1.],[-0.97 -0.94],[-1.   -0.95],[ 0.58 -0.58],[0.32 0.28],"[[-0.02  0.03]
 [-0.01  0.05]]","[[-0.03  0.02]
 [-0.12 -0.18]]","[[ 0.02 -0.08]
 [-0.1   0.14]]","[[ 0.08 -0.26]
 [ 0.1  -0.08]]","[[-0.02 -0.01]
 [-0.01 -0.02]]",[ 0.05 -0.05],[-0.05  0.01],[-0.03 -0.05],[-0.01 -0.05],[-0.05 -0.05],[0.04 0.02],0.13079591,LPE10885_2023_10_20_0_0289
Dataset 05,266,[-0.47 -0.66],"[[-0.01 -0.01]
 [-0.04 -0.  ]]",[0.67 0.48],"[[0.07 0.04]
 [0.09 0.05]]",[-1. -1.],[-0.99 -0.97],[-1.   -0.98],[ 0.61 -0.6 ],[-0.    0.26],"[[ 0.03 -0.  ]
 [ 0.05 -0.05]]","[[-0.07  0.07]
 [ 0.07  0.08]]","[[ 0.07 -0.03]
 [-0.16 -0.03]]","[[-0.11 -0.05]
 [-0.12 -0.03]]","[[ 0.01 -0.02]
 [-0.03  0.02]]",[-0.05 -0.05],[ 0.05 -0.05],[-0.02 -0.05],[ 0.05 -0.04],[-0.05  0.03],[0.05 0.03],0.29672322,LPE10885_2023_10_20_0_0290
Dataset 05,267,[-0.47 -0.66],"[[-0.04 -0.05]
 [ 0.04 -0.  ]]",[0.67 0.49],"[[0.04 0.05]
 [0.08 0.06]]",[-1. -1.],[-0.99 -0.97],[-1. -1.],[ 0.64 -0.61],[-0.02  0.26],"[[ 0.   -0.04]
 [ 0.03 -0.02]]","[[-0.07  0.02]
 [-0.04  0.08]]","[[-0.09 -0.13]
 [ 0.19 -0.11]]","[[-0.05 -0.05]
 [ 0.01  0.01]]","[[ 0.02 -0.03]
 [ 0.02  0.02]]",[-0.05 -0.04],[-0.05  0.  ],[ 0.   -0.05],[-0.02  0.05],[0.05 0.02],[0.04 0.04],0.44124323,LPE10885_2023_10_20_0_0291
Dataset 05,268,[-0.43 -0.64],"[[-0.01  0.06]
 [ 0.04 -0.01]]",[0.69 0.49],"[[0.03 0.11]
 [0.08 0.11]]",[-1. -1.],[-0.98 -0.96],[-1.   -0.97],[ 0.56 -0.56],[0.26 0.27],"[[ 0.    0.01]
 [-0.03 -0.01]]","[[-0.03 -0.08]
 [ 0.13 -0.17]]","[[0.02 0.2 ]
 [0.15 0.17]]","[[-0.06  0.18]
 [-0.06 -0.06]]","[[ 0.01  0.  ]
 [ 0.01 -0.  ]]",[0.05 0.05],[0.01 0.05],[-0.05 -0.05],[ 0.05 -0.01],[-0.01 -0.05],[0.04 0.05],0.54507667,LPE10885_2023_10_20_0_0292
Dataset 05,269,[-0.45 -0.65],"[[0.   0.02]
 [0.04 0.02]]",[0.68 0.49],"[[0.07 0.06]
 [0.06 0.03]]",[-1. -1.],[-0.99 -0.97],[-1.   -0.98],[ 0.57 -0.57],[0.17 0.28],"[[-0.    0.  ]
 [ 0.04 -0.02]]","[[0.01 0.14]
 [0.02 0.05]]","[[-0.11  0.01]
 [ 0.15  0.05]]","[[ 0.11 -0.03]
 [ 0.01  0.01]]","[[-0.   -0.01]
 [-0.04 -0.02]]",[-0.01 -0.05],[-0.05 -0.03],[-0.02 -0.02],[-0.05  0.05],[-0.02  0.05],[0.02 0.04],0.31802657,LPE10885_2023_10_20_0_0293
Dataset 05,270,[-0.41 -0.66],"[[-0.03  0.  ]
 [ 0.    0.03]]",[0.72 0.49],"[[0.07 0.03]
 [0.07 0.07]]",[-1. -1.],[-0.98 -0.95],[-1. -1.],[ 0.64 -0.61],[0.28 0.27],"[[0.01 0.  ]
 [0.01 0.01]]","[[ 0.01  0.04]
 [-0.12 -0.09]]","[[-0.18 -0.06]
 [ 0.03  0.12]]","[[0.01 0.01]
 [0.09 0.08]]","[[-0.02  0.01]
 [ 0.    0.02]]",[-0.05 -0.  ],[-0.05  0.05],[-0.05 -0.05],[ 0.05 -0.05],[-0.02  0.04],[0.04 0.04],0.375926,LPE10885_2023_10_20_0_0294
Dataset 05,271,[-0.44 -0.65],"[[-0.04  0.01]
 [-0.04 -0.05]]",[0.69 0.49],"[[0.07 0.08]
 [0.06 0.03]]",[-1. -1.],[-0.99 -0.97],[-1.   -0.97],[ 0.56 -0.57],[0.24 0.28],"[[-0.02  0.01]
 [ 0.06 -0.02]]","[[ 0.01  0.11]
 [-0.06 -0.11]]","[[-0.15  0.07]
 [-0.1  -0.06]]","[[-0.07 -0.13]
 [-0.07 -0.04]]","[[ 0.04 -0.  ]
 [-0.01 -0.03]]",[-0.05 -0.05],[-0.05 -0.05],[-0.03 -0.05],[0.05 0.05],[-0.05  0.05],[0.04 0.05],0.28417894,LPE10885_2023_10_20_0_0295
Dataset 05,272,[-0.44 -0.64],"[[-0.04 -0.02]
 [-0.05  0.  ]]",[0.69 0.49],"[[0.1  0.04]
 [0.03 0.04]]",[-1. -1.],[-0.99 -0.97],[-1.   -0.97],[ 0.55 -0.56],[0.25 0.28],"[[ 0.04  0.02]
 [-0.05  0.03]]","[[-0.1  -0.02]
 [-0.01 -0.02]]","[[ 0.05 -0.1 ]
 [-0.04  0.01]]","[[-0.2   0.01]
 [-0.1  -0.06]]","[[ 0.   -0.02]
 [-0.03  0.04]]",[-0.05 -0.05],[-0.05 -0.05],[-0.05 -0.05],[0.05 0.01],[ 0.   -0.04],[0.04 0.02],0.057714727,LPE10885_2023_10_20_0_0296
Dataset 05,273,[-0.41 -0.65],"[[-0.03  0.  ]
 [ 0.03  0.  ]]",[0.72 0.49],"[[0.07 0.05]
 [0.03 0.07]]",[-1. -1.],[-0.97 -0.94],[-1.   -0.99],[ 0.62 -0.6 ],[0.32 0.28],"[[ 0.01 -0.01]
 [ 0.02  0.01]]","[[ 0.03 -0.05]
 [ 0.07 -0.12]]","[[-0.16  0.09]
 [ 0.05  0.02]]","[[-0.03 -0.  ]
 [ 0.01  0.11]]","[[-0.   -0.  ]
 [-0.02 -0.02]]",[-0.   -0.05],[-0.    0.05],[-0.05  0.05],[ 0.03 -0.03],[-0.05 -0.01],[0.03 0.04],0.36559758,LPE10885_2023_10_20_0_0297
Dataset 05,274,[-0.4  -0.66],"[[-0.1  -0.03]
 [ 0.03 -0.02]]",[0.73 0.49],"[[0.16 0.08]
 [0.09 0.06]]",[-1. -1.],[-0.97 -0.95],[-1. -1.],[ 0.66 -0.62],[0.32 0.28],"[[ 0.    0.03]
 [ 0.   -0.  ]]","[[-0.02 -0.17]
 [ 0.04 -0.12]]","[[-0.04 -0.06]
 [-0.09  0.03]]","[[-0.41  0.03]
 [ 0.18  0.05]]","[[-0.01  0.02]
 [ 0.01 -0.04]]",[ 0.05 -0.02],[-0.03 -0.04],[ 0.05 -0.05],[0.05 0.05],[-0.05  0.05],[0.05 0.05],0.3321761,LPE10885_2023_10_20_0_0298
Dataset 05,275,[-0.45 -0.64],"[[ 0.02  0.01]
 [-0.    0.  ]]",[0.68 0.49],"[[0.03 0.04]
 [0.04 0.02]]",[-1. -1.],[-0.99 -0.97],[-1.   -0.98],[ 0.56 -0.56],[0.17 0.29],"[[-0.01 -0.05]
 [-0.    0.01]]","[[-0.02  0.07]
 [ 0.05  0.01]]","[[ 0.04 -0.01]
 [-0.04  0.02]]","[[ 0.07  0.04]
 [-0.04 -0.05]]","[[0.02 0.02]
 [0.01 0.01]]",[-0.01 -0.05],[0.01 0.05],[-0.05  0.  ],[-0.04  0.05],[-0.01  0.02],[0.02 0.04],0.11944257,LPE10885_2023_10_20_0_0299
Dataset 05,276,[-0.41 -0.66],"[[ 0.05 -0.02]
 [ 0.06 -0.01]]",[0.72 0.49],"[[0.11 0.07]
 [0.08 0.04]]",[-1. -1.],[-0.98 -0.95],[-1.   -0.99],[ 0.63 -0.61],[0.3  0.27],"[[-0.01 -0.  ]
 [-0.01 -0.01]]","[[ 0.07 -0.05]
 [ 0.05 -0.03]]","[[-0.05 -0.13]
 [ 0.21 -0.06]]","[[0.26 0.08]
 [0.03 0.05]]","[[-0.    0.01]
 [ 0.    0.01]]",[0.05 0.05],[-0.01 -0.05],[-0.05 -0.05],[-0.05 -0.02],[-0.05 -0.05],[0.04 0.04],0.5771131,LPE10885_2023_10_20_0_0300
Dataset 05,277,[-0.45 -0.64],"[[ 0.05  0.02]
 [-0.05 -0.03]]",[0.68 0.49],"[[0.03 0.05]
 [0.09 0.09]]",[-1. -1.],[-0.99 -0.97],[-1.   -0.98],[ 0.55 -0.56],[0.17 0.29],"[[0.04 0.02]
 [0.02 0.12]]","[[ 0.03  0.06]
 [-0.1  -0.15]]","[[ 0.09 -0.08]
 [-0.2  -0.11]]","[[ 0.09  0.08]
 [ 0.01 -0.01]]","[[ 0.02  0.01]
 [ 0.04 -0.01]]",[0.01 0.03],[-0.05  0.03],[-0.05 -0.  ],[-0.03  0.05],[-0.04  0.05],[0.02 0.02],0.12374677,LPE10885_2023_10_20_0_0301
Dataset 05,278,[-0.42 -0.64],"[[ 0.06 -0.04]
 [-0.01 -0.  ]]",[0.71 0.48],"[[0.1  0.11]
 [0.05 0.02]]",[-1. -1.],[-0.97 -0.94],[-1.   -0.94],[ 0.58 -0.58],[0.32 0.28],"[[ 0.06  0.08]
 [ 0.04 -0.  ]]","[[-0.08  0.03]
 [ 0.02 -0.  ]]","[[ 0.18 -0.09]
 [-0.11 -0.04]]","[[ 0.15 -0.22]
 [-0.   -0.  ]]","[[-0.01  0.01]
 [-0.01  0.02]]",[ 0.05 -0.  ],[ 0.05 -0.05],[-0.05 -0.05],[-0.02 -0.  ],[0.05 0.05],[0.04 0.04],0.083473146,LPE10885_2023_10_20_0_0302
Dataset 05,279,[-0.46 -0.67],"[[ 0.01 -0.01]
 [ 0.01  0.  ]]",[0.69 0.48],"[[0.13 0.09]
 [0.06 0.04]]",[-1. -1.],[-0.99 -0.97],[-1. -1.],[ 0.65 -0.62],[0.05 0.26],"[[-0.02 -0.02]
 [-0.01  0.01]]","[[ 0.05  0.06]
 [ 0.06 -0.05]]","[[ 0.22 -0.18]
 [-0.09  0.  ]]","[[-0.18  0.08]
 [ 0.09 -0.03]]","[[-0.01  0.  ]
 [-0.01  0.06]]",[-0.05 -0.02],[0.05 0.05],[-0.04 -0.05],[ 0.04 -0.05],[-0.05 -0.05],[0.05 0.04],0.1995053,LPE10885_2023_10_20_0_0303
Dataset 05,280,[-0.46 -0.64],"[[ 0.03  0.04]
 [ 0.01 -0.07]]",[0.67 0.5 ],"[[0.09 0.08]
 [0.04 0.09]]",[-1. -1.],[-0.99 -0.97],[-1.   -0.98],[ 0.55 -0.56],[0.14 0.3 ],"[[-0.02 -0.05]
 [-0.04 -0.03]]","[[ 0.06  0.15]
 [-0.03 -0.02]]","[[ 0.18  0.1 ]
 [ 0.07 -0.24]]","[[-0.07 -0.02]
 [ 0.06 -0.04]]","[[-0.01  0.01]
 [ 0.02 -0.02]]",[-0.01  0.05],[0.04 0.05],[-0.05 -0.03],[ 0.05 -0.05],[0.03 0.05],[0.04 0.05],0.2286682,LPE10885_2023_10_20_0_0304
Dataset 05,281,[-0.41 -0.64],"[[ 0.06  0.  ]
 [-0.03  0.07]]",[0.71 0.48],"[[0.04 0.07]
 [0.07 0.1 ]]",[-1. -1.],[-0.97 -0.94],[-1.   -0.95],[ 0.59 -0.58],[0.32 0.28],"[[ 0.05  0.01]
 [ 0.03 -0.02]]","[[ 0.08 -0.08]
 [-0.1   0.13]]","[[ 0.04  0.14]
 [-0.13  0.22]]","[[ 0.11 -0.05]
 [ 0.03  0.03]]","[[-0.   -0.  ]
 [ 0.01 -0.03]]",[0.05 0.05],[-0.05 -0.02],[-0.05 -0.05],[-0.05 -0.05],[0.02 0.  ],[0.04 0.04],0.1721625,LPE10885_2023_10_20_0_0305
Dataset 05,282,[-0.46 -0.66],"[[-0.01  0.01]
 [ 0.06 -0.  ]]",[0.67 0.48],"[[0.04 0.1 ]
 [0.12 0.06]]",[-1. -1.],[-0.98 -0.96],[-1.   -0.98],[ 0.61 -0.59],[0.05 0.26],"[[-0.    0.02]
 [ 0.07 -0.1 ]]","[[-0.06  0.04]
 [-0.06  0.05]]","[[-0.07  0.17]
 [ 0.27  0.07]]","[[ 0.03 -0.16]
 [-0.03 -0.04]]","[[0.04 0.  ]
 [0.03 0.  ]]",[ 0.04 -0.05],[-0.03 -0.05],[ 0.01 -0.05],[ 0.05 -0.05],[-0.05 -0.05],[0.04 0.  ],0.26255393,LPE10885_2023_10_20_0_0306
Dataset 05,283,[-0.42 -0.64],"[[ 0.09 -0.06]
 [-0.01  0.02]]",[0.71 0.49],"[[0.16 0.1 ]
 [0.09 0.04]]",[-1. -1.],[-0.98 -0.95],[-1.   -0.96],[ 0.56 -0.56],[0.32 0.28],"[[ 0.01 -0.01]
 [-0.01 -0.03]]","[[ 0.01 -0.14]
 [-0.04  0.05]]","[[ 0.41  0.05]
 [-0.14  0.05]]","[[ 0.01 -0.21]
 [ 0.14  0.06]]","[[-0.01  0.01]
 [ 0.01 -0.02]]",[ 0.05 -0.04],[-0.05 -0.05],[ 0.03 -0.05],[-0.   -0.05],[-0.05 -0.04],[0.04 0.01],0.3064752,LPE10885_2023_10_20_0_0307
Dataset 05,284,[-0.48 -0.66],"[[-0.09  0.01]
 [ 0.04  0.02]]",[0.66 0.48],"[[0.09 0.04]
 [0.06 0.1 ]]",[-1. -1.],[-0.99 -0.97],[-1.   -0.98],[ 0.61 -0.59],[0.01 0.26],"[[-0.01  0.01]
 [-0.01 -0.01]]","[[-0.11  0.07]
 [ 0.07  0.19]]","[[-0.23  0.  ]
 [ 0.13 -0.1 ]]","[[-0.12 -0.03]
 [-0.03  0.01]]","[[ 0.02 -0.01]
 [ 0.02 -0.  ]]",[-0.05  0.02],[ 0.01 -0.05],[-0.05 -0.05],[-0.02 -0.05],[-0.05 -0.05],[0.03 0.03],0.4525649,LPE10885_2023_10_20_0_0308
Dataset 05,285,[-0.45 -0.65],"[[-0.04 -0.01]
 [-0.01 -0.06]]",[0.68 0.48],"[[0.03 0.09]
 [0.01 0.06]]",[-1. -1.],[-0.98 -0.96],[-1.   -0.97],[ 0.57 -0.57],[0.17 0.26],"[[-0.03 -0.04]
 [-0.02 -0.13]]","[[-0.04  0.01]
 [-0.03  0.02]]","[[-0.09 -0.11]
 [ 0.01 -0.05]]","[[-0.05  0.15]
 [-0.01 -0.13]]","[[-0.   -0.03]
 [-0.01 -0.01]]",[-0.05 -0.05],[-0.05 -0.05],[-0.05 -0.05],[ 0.04 -0.05],[-0.03  0.02],[0.04 0.03],0.15819533,LPE10885_2023_10_20_0_0310
Dataset 05,286,[-0.41 -0.65],"[[ 0.04 -0.05]
 [-0.05 -0.01]]",[0.72 0.49],"[[0.12 0.06]
 [0.05 0.03]]",[-1. -1.],[-0.97 -0.94],[-1.   -0.99],[ 0.62 -0.6 ],[0.32 0.28],"[[ 0.05  0.01]
 [-0.02 -0.02]]","[[ 0.16 -0.06]
 [-0.03  0.01]]","[[ 0.16 -0.13]
 [-0.14  0.01]]","[[-0.17 -0.09]
 [-0.06 -0.06]]","[[-0.01  0.01]
 [ 0.   -0.02]]",[ 0.05 -0.02],[ 0.05 -0.05],[-0.05 -0.05],[0.01 0.05],[0.   0.05],[0.04 0.05],0.048692808,LPE10885_2023_10_20_0_0311
Dataset 05,287,[-0.45 -0.67],"[[ 0.01  0.06]
 [ 0.02 -0.03]]",[0.69 0.48],"[[0.09 0.11]
 [0.12 0.08]]",[-1. -1.],[-0.98 -0.97],[-1. -1.],[ 0.65 -0.62],[0.1  0.25],"[[ 0.09 -0.07]
 [-0.06 -0.07]]","[[ 0.08  0.25]
 [ 0.1  -0.17]]","[[-0.17  0.07]
 [-0.13  0.08]]","[[0.07 0.08]
 [0.19 0.01]]","[[ 0.   -0.01]
 [-0.01  0.02]]",[-0.05  0.05],[-0.03 -0.05],[-0.05 -0.05],[ 0.05 -0.05],[ 0.   -0.05],[0.04 0.04],0.17734693,LPE10885_2023_10_20_0_0312
Dataset 05,288,[-0.42 -0.64],"[[ 0.08  0.  ]
 [ 0.04 -0.06]]",[0.7  0.49],"[[0.06 0.09]
 [0.07 0.05]]",[-1. -1.],[-0.98 -0.96],[-1.   -0.96],[ 0.55 -0.56],[0.32 0.28],"[[ 0.01  0.04]
 [ 0.05 -0.05]]","[[ 0.14 -0.15]
 [ 0.15 -0.08]]","[[ 0.16  0.11]
 [ 0.07 -0.15]]","[[ 0.08 -0.  ]
 [-0.07  0.02]]","[[ 0.    0.02]
 [ 0.01 -0.02]]",[-0.03  0.05],[-0.05  0.05],[-0.05 -0.05],[-0.04 -0.01],[-0.05  0.04],[0.01 0.04],0.020199392,LPE10885_2023_10_20_0_0314
Dataset 05,289,[-0.46 -0.64],"[[ 0.02 -0.05]
 [-0.02 -0.02]]",[0.67 0.5 ],"[[0.02 0.18]
 [0.04 0.07]]",[-1. -1.],[-0.99 -0.97],[-1.   -0.98],[ 0.55 -0.56],[0.14 0.3 ],"[[ 0.02 -0.01]
 [-0.04  0.04]]","[[ 0.05  0.16]
 [-0.07 -0.11]]","[[ 0.04 -0.02]
 [-0.03  0.05]]","[[ 0.02 -0.4 ]
 [ 0.06 -0.09]]","[[-0.02  0.01]
 [-0.04  0.01]]",[0.04 0.04],[0.05 0.05],[-0.05  0.05],[ 0.05 -0.05],[0.05 0.03],[0.04 0.04],0.069662124,LPE10885_2023_10_20_0_0315
Dataset 05,290,[-0.44 -0.64],"[[ 0.08 -0.02]
 [ 0.02  0.04]]",[0.68 0.49],"[[0.11 0.03]
 [0.1  0.03]]",[-1. -1.],[-0.98 -0.96],[-1.   -0.98],[ 0.54 -0.55],[0.24 0.28],"[[ 0.02 -0.02]
 [-0.06  0.02]]","[[-0.04  0.02]
 [-0.01  0.03]]","[[ 0.22 -0.03]
 [ 0.2   0.07]]","[[ 0.19 -0.08]
 [ 0.04  0.1 ]]","[[ 0.   -0.01]
 [-0.08  0.01]]",[-0.05 -0.03],[-0.05  0.05],[-0.05 -0.05],[-0.05 -0.05],[-0.05 -0.05],[0.   0.04],0.33295977,LPE10885_2023_10_20_0_0317
Dataset 05,291,[-0.42 -0.64],"[[-0.04  0.02]
 [ 0.04  0.02]]",[0.71 0.48],"[[0.05 0.05]
 [0.04 0.04]]",[-1. -1.],[-0.98 -0.95],[-1.   -0.94],[ 0.56 -0.57],[0.32 0.28],"[[ 0.02 -0.  ]
 [ 0.04 -0.04]]","[[-0.04 -0.  ]
 [-0.    0.05]]","[[-0.14 -0.01]
 [ 0.11 -0.01]]","[[-0.03  0.11]
 [ 0.05  0.06]]","[[-0.02  0.  ]
 [ 0.01  0.05]]",[ 0.05 -0.05],[-0.04  0.04],[ 0.05 -0.05],[-0.02  0.  ],[ 0.05 -0.05],[0.04 0.04],0.1311156,LPE10885_2023_10_20_0_0318
Dataset 05,292,[-0.41 -0.66],"[[ 0.01 -0.04]
 [-0.    0.02]]",[0.72 0.49],"[[0.04 0.02]
 [0.03 0.03]]",[-1. -1.],[-0.98 -0.95],[-1. -1.],[ 0.63 -0.61],[0.3  0.27],"[[ 0.04 -0.01]
 [-0.01 -0.  ]]","[[ 0.01 -0.04]
 [-0.05 -0.02]]","[[-0.05 -0.06]
 [-0.    0.03]]","[[ 0.07 -0.02]
 [ 0.03  0.06]]","[[-0.02 -0.05]
 [ 0.    0.01]]",[0.03 0.05],[0.05 0.05],[ 0.   -0.05],[-0.01 -0.05],[ 0.05 -0.05],[0.03 0.05],0.21514967,LPE10885_2023_10_20_0_0319
Dataset 05,293,[-0.42 -0.66],"[[ 0.08 -0.  ]
 [-0.06  0.01]]",[0.71 0.48],"[[0.09 0.04]
 [0.1  0.1 ]]",[-1. -1.],[-0.98 -0.96],[-1. -1.],[ 0.64 -0.61],[0.22 0.26],"[[-0.02 -0.01]
 [ 0.02  0.01]]","[[ 0.2  -0.03]
 [-0.18 -0.17]]","[[ 0.18 -0.04]
 [-0.18  0.1 ]]","[[0.01 0.09]
 [0.04 0.09]]","[[ 0.01 -0.01]
 [-0.02  0.01]]",[-0.05  0.02],[ 0.05 -0.05],[-0.05 -0.05],[-0.01  0.05],[-0.05  0.05],[0.04 0.05],0.44194916,LPE10885_2023_10_20_0_0320
Dataset 05,294,[-0.4  -0.66],"[[-0.01  0.  ]
 [-0.05  0.03]]",[0.73 0.49],"[[0.05 0.11]
 [0.07 0.07]]",[-1. -1.],[-0.98 -0.95],[-1. -1.],[ 0.66 -0.62],[0.31 0.28],"[[ 0.02  0.01]
 [-0.04  0.1 ]]","[[ 0.05 -0.1 ]
 [-0.18 -0.09]]","[[-0.01 -0.09]
 [-0.03  0.11]]","[[-0.11  0.19]
 [ 0.    0.02]]","[[-0.02 -0.01]
 [ 0.02 -0.01]]",[0.05 0.05],[ 0.05 -0.05],[-0.01 -0.05],[-0.05  0.04],[0.05 0.05],[0.04 0.05],0.19462314,LPE10885_2023_10_20_0_0321
Dataset 05,295,[-0.41 -0.66],"[[-0.03  0.07]
 [ 0.01 -0.05]]",[0.72 0.49],"[[0.12 0.13]
 [0.09 0.04]]",[-1. -1.],[-0.98 -0.95],[-1. -1.],[ 0.64 -0.61],[0.3  0.27],"[[-0.01 -0.02]
 [-0.08 -0.03]]","[[-0.02  0.33]
 [-0.04 -0.1 ]]","[[-0.24  0.03]
 [ 0.17 -0.07]]","[[ 0.12 -0.01]
 [ 0.   -0.02]]","[[-0.01  0.02]
 [-0.02 -0.  ]]",[0.05 0.03],[-0.05 -0.01],[-0.05 -0.05],[-0.05  0.03],[ 0.05 -0.02],[0.05 0.03],0.34643832,LPE10885_2023_10_20_0_0323
