dataset,neuron,mean,cov,mean_std,cov_std,mean_0,mean_1,mean_2,mean_3,mean_4,cov_0,cov_1,cov_2,cov_3,cov_4,jitter_0,loc_0,jitter_1,loc_1,jitter_2,loc_2,jitter_3,loc_3,jitter_4,loc_4,jitter,loc,jitter_std,loc_std,single_trial_correlation,cell_id
Dataset 05,1110,[-0.14  0.6 ],"[[ 0.02  0.01]
 [-0.02  0.02]]",[0.71 0.33],"[[0.11 0.06]
 [0.06 0.05]]",[-0.96  0.88],[-0.48  0.51],[1. 1.],[0.35 0.57],[-0.6   0.05],"[[-0.1   0.13]
 [-0.12  0.12]]","[[ 0.21 -0.04]
 [ 0.03 -0.02]]","[[ 0.   -0.01]
 [-0.   -0.01]]","[[-0.04 -0.01]
 [ 0.03  0.02]]","[[ 0.01 -0.  ]
 [-0.01 -0.01]]",[-0.05  0.05],[-1.01  0.93],[ 0.05 -0.05],[-0.42  0.46],[-0.02 -0.04],[0.98 0.96],[ 0.   -0.04],[0.35 0.53],[ 0.05 -0.05],[-0.55 -0.  ],[ 0.01 -0.03],[-0.13  0.58],[0.04 0.04],[0.71 0.35],0.67499155,LPE10885_2023_10_20_5_0311
Dataset 05,1111,[-0.19  0.59],"[[-0.    0.01]
 [-0.    0.02]]",[0.75 0.37],"[[0.06 0.04]
 [0.01 0.02]]",[-0.95  0.87],[-0.5   0.55],[1. 1.],[0.36 0.6 ],[-0.86 -0.08],"[[0.01 0.03]
 [0.02 0.03]]","[[-0.1   0.06]
 [-0.02  0.03]]","[[-0.    0.01]
 [-0.01 -0.  ]]","[[ 0.08 -0.07]
 [ 0.    0.03]]","[[ 0.01 -0.  ]
 [ 0.    0.  ]]",[ 0.03 -0.05],[-0.92  0.83],[ 0.04 -0.03],[-0.45  0.52],[-0.05 -0.  ],[0.95 1.  ],[0.01 0.02],[0.37 0.61],[-0.01 -0.02],[-0.87 -0.1 ],[ 0.01 -0.02],[-0.19  0.57],[0.03 0.02],[0.73 0.37],0.21317776,LPE10885_2023_10_20_5_0312
Dataset 05,1112,[-0.15  0.58],"[[ 0.04  0.05]
 [-0.    0.03]]",[0.71 0.32],"[[0.09 0.09]
 [0.08 0.07]]",[-0.87  0.76],[-0.48  0.51],[1. 1.],[0.34 0.56],[-0.74  0.05],"[[-0.09  0.19]
 [-0.03 -0.01]]","[[0.17 0.1 ]
 [0.13 0.16]]","[[-0.   -0.01]
 [ 0.01 -0.  ]]","[[ 0.11 -0.06]
 [-0.13 -0.01]]","[[-0.  0.]
 [ 0. -0.]]",[-0.05  0.05],[-0.93  0.82],[-0.04  0.01],[-0.52  0.52],[ 0.05 -0.03],[1.05 0.97],[0.05 0.05],[0.4  0.61],[0.05 0.  ],[-0.69  0.05],[0.01 0.02],[-0.14  0.59],[0.05 0.03],[0.74 0.31],0.277819,LPE10885_2023_10_20_5_0313
Dataset 05,1113,[-0.14  0.59],"[[-0.03 -0.03]
 [ 0.01 -0.03]]",[0.71 0.32],"[[0.04 0.08]
 [0.03 0.06]]",[-0.93  0.84],[-0.47  0.51],[1. 1.],[0.34 0.56],[-0.64  0.05],"[[-0.11 -0.16]
 [-0.   -0.01]]","[[-0.05  0.08]
 [-0.   -0.14]]","[[-0. -0.]
 [-0.  0.]]","[[-0.01 -0.09]
 [ 0.07  0.02]]","[[ 0.01  0.  ]
 [-0.01 -0.01]]",[-0.02 -0.05],[-0.95  0.79],[ 0.05 -0.05],[-0.42  0.46],[-0.02 -0.05],[0.98 0.95],[0.05 0.05],[0.39 0.61],[-0.04 -0.04],[-0.67  0.01],[ 0.01 -0.03],[-0.13  0.56],[0.04 0.04],[0.71 0.32],0.5296727,LPE10885_2023_10_20_5_0314
Dataset 05,1114,[-0.19  0.6 ],"[[ 0.03  0.02]
 [ 0.03 -0.01]]",[0.76 0.41],"[[0.1  0.09]
 [0.04 0.06]]",[-0.98  0.94],[-0.51  0.57],[1. 1.],[0.36 0.63],[-0.84 -0.14],"[[ 0.23 -0.12]
 [ 0.09  0.04]]","[[-0.04  0.16]
 [ 0.07 -0.13]]","[[ 0.   -0.01]
 [-0.02  0.01]]","[[-0.03  0.08]
 [ 0.02  0.04]]","[[-0.01 -0.01]
 [-0.01 -0.01]]",[-0.01  0.04],[-0.99  0.98],[ 0.05 -0.05],[-0.46  0.52],[-0.05 -0.05],[0.95 0.95],[-0.03 -0.04],[0.34 0.59],[0. 0.],[-0.84 -0.14],[-0.01 -0.02],[-0.2   0.58],[0.03 0.04],[0.74 0.4 ],0.2676822,LPE10885_2023_10_20_5_0315
Dataset 05,1115,[-0.12  0.62],"[[ 0.01 -0.02]
 [ 0.01  0.01]]",[0.7 0.3],"[[0.07 0.1 ]
 [0.03 0.08]]",[-0.96  0.89],[-0.47  0.49],[1. 1.],[0.34 0.56],[-0.5   0.17],"[[-0.09 -0.15]
 [ 0.06 -0.01]]","[[ 0.04  0.14]
 [-0.02 -0.1 ]]","[[-0.    0.01]
 [-0.01  0.02]]","[[ 0.11 -0.09]
 [ 0.02  0.15]]","[[-0.01  0.01]
 [ 0.    0.  ]]",[-0.04  0.05],[-1.01  0.94],[ 0.05 -0.02],[-0.41  0.47],[ 0.05 -0.05],[1.05 0.95],[0.05 0.05],[0.39 0.61],[-0.04 -0.03],[-0.54  0.14],[0.01 0.  ],[-0.1   0.62],[0.05 0.04],[0.73 0.3 ],0.6201594,LPE10885_2023_10_20_5_0316
Dataset 05,1116,[-0.2   0.59],"[[ 0.04 -0.02]
 [-0.05  0.02]]",[0.76 0.39],"[[0.08 0.09]
 [0.05 0.08]]",[-0.97  0.9 ],[-0.5   0.56],[1. 1.],[0.36 0.61],[-0.87 -0.1 ],"[[-0.01 -0.18]
 [-0.13 -0.02]]","[[ 0.19  0.07]
 [-0.08  0.18]]","[[-0.01 -0.03]
 [-0.01 -0.02]]","[[ 0.02  0.03]
 [-0.05 -0.03]]","[[ 0.01 -0.01]
 [ 0.    0.  ]]",[-0.03 -0.01],[-1.    0.89],[-0.05  0.04],[-0.55  0.6 ],[-0.05 -0.05],[0.95 0.95],[ 0.02 -0.04],[0.38 0.57],[ 0.03 -0.04],[-0.84 -0.14],[-0.02 -0.02],[-0.21  0.57],[0.04 0.03],[0.75 0.39],0.42163253,LPE10885_2023_10_20_5_0317
Dataset 05,1117,[-0.15  0.6 ],"[[-0.11 -0.06]
 [-0.02 -0.06]]",[0.72 0.3 ],"[[0.09 0.1 ]
 [0.06 0.07]]",[-0.93  0.84],[-0.47  0.5 ],[1. 1.],[0.35 0.57],[-0.68  0.12],"[[-0.15 -0.05]
 [-0.05 -0.09]]","[[-0.25 -0.27]
 [-0.11 -0.18]]","[[-0.01  0.  ]
 [-0.01 -0.  ]]","[[-0.13 -0.  ]
 [ 0.07  0.01]]","[[ 0.    0.  ]
 [ 0.   -0.01]]",[-0.01  0.05],[-0.95  0.89],[-0.04  0.05],[-0.51  0.55],[ 0.01 -0.04],[1.01 0.96],[0.02 0.01],[0.36 0.57],[0.02 0.03],[-0.66  0.14],[-0.    0.02],[-0.15  0.62],[0.02 0.04],[0.73 0.29],0.5814941,LPE10885_2023_10_20_5_0318
Dataset 05,1118,[-0.17  0.69],"[[-0.01 -0.01]
 [-0.01  0.04]]",[0.74 0.27],"[[0.08 0.06]
 [0.03 0.04]]",[-1.    0.97],[-0.5   0.55],[1. 1.],[0.35 0.62],[-0.7  0.3],"[[ 0.02 -0.06]
 [-0.02  0.06]]","[[-0.16  0.08]
 [-0.05  0.1 ]]","[[0.   0.  ]
 [0.   0.01]]","[[ 0.07 -0.09]
 [ 0.03  0.02]]","[[ 0.   -0.01]
 [-0.01  0.  ]]",[ 0.05 -0.03],[-0.94  0.94],[-0.03  0.02],[-0.53  0.58],[-0.03  0.05],[0.97 1.05],[0.01 0.02],[0.36 0.63],[-0.05 -0.02],[-0.75  0.28],[-0.01  0.01],[-0.18  0.7 ],[0.04 0.03],[0.73 0.28],0.07802159,LPE10885_2023_10_20_5_0319
Dataset 05,1119,[-0.11  0.7 ],"[[ 0.05 -0.02]
 [-0.    0.05]]",[0.7  0.26],"[[0.05 0.05]
 [0.02 0.05]]",[-1.    0.99],[-0.5   0.56],[1. 1.],[0.35 0.59],[-0.39  0.35],"[[0.12 0.06]
 [0.02 0.08]]","[[ 0.07 -0.08]
 [-0.03  0.13]]","[[-0.   -0.  ]
 [-0.01  0.  ]]","[[ 0.07 -0.08]
 [ 0.02  0.03]]","[[-0. -0.]
 [ 0.  0.]]",[-0.02  0.02],[-1.01  1.  ],[ 0.04 -0.01],[-0.46  0.56],[0.05 0.05],[1.05 1.05],[-0.03  0.03],[0.31 0.62],[0.05 0.01],[-0.34  0.36],[0.02 0.02],[-0.09  0.72],[0.04 0.02],[0.71 0.27],0.45140606,LPE10885_2023_10_20_5_0320
