dataset,neuron,mean,cov,mean_std,cov_std,mean_0,mean_1,mean_2,mean_3,mean_4,cov_0,cov_1,cov_2,cov_3,cov_4,jitter_0,loc_0,jitter_1,loc_1,jitter_2,loc_2,jitter_3,loc_3,jitter_4,loc_4,jitter,loc,jitter_std,loc_std,single_trial_correlation,cell_id
Dataset 05,889,[-0.17  0.56],"[[-0.01 -0.05]
 [ 0.05  0.  ]]",[0.74 0.34],"[[0.1  0.04]
 [0.05 0.02]]",[-0.83  0.73],[-0.49  0.53],[1. 1.],[0.35 0.56],[-0.9  -0.04],"[[-0.01 -0.05]
 [ 0.05  0.03]]","[[ 0.14 -0.11]
 [ 0.04 -0.03]]","[[ 0.   -0.01]
 [ 0.01  0.03]]","[[-0.17 -0.1 ]
 [ 0.15 -0.02]]","[[-0. -0.]
 [-0.  0.]]",[0.   0.05],[-0.83  0.78],[-0.01  0.05],[-0.49  0.58],[-0.04 -0.05],[0.96 0.95],[0.05 0.05],[0.4  0.61],[-0.05  0.01],[-0.95 -0.03],[-0.01  0.02],[-0.18  0.58],[0.04 0.04],[0.74 0.33],0.7241396,LPE10885_2023_10_20_5_0090
Dataset 05,890,[-0.19  0.57],"[[ 0.   -0.03]
 [-0.02  0.05]]",[0.75 0.32],"[[0.06 0.05]
 [0.1  0.08]]",[-0.82  0.72],[-0.49  0.54],[1. 1.],[0.35 0.57],[-0.99  0.01],"[[-0.1   0.03]
 [-0.21  0.09]]","[[ 0.1  -0.1 ]
 [ 0.05 -0.02]]","[[-0.01  0.01]
 [ 0.    0.  ]]","[[ 0.01 -0.07]
 [ 0.04  0.18]]","[[ 0.01  0.  ]
 [ 0.01 -0.  ]]",[0.05 0.05],[-0.77  0.76],[ 0.05 -0.02],[-0.44  0.52],[-0.05 -0.04],[0.95 0.96],[0.01 0.02],[0.35 0.59],[-0.    0.01],[-0.99  0.02],[0.01 0.  ],[-0.18  0.57],[0.04 0.03],[0.73 0.31],0.84229416,LPE10885_2023_10_20_5_0091
Dataset 05,891,[-0.09  0.62],"[[-0.03  0.03]
 [ 0.05  0.01]]",[0.69 0.31],"[[0.08 0.04]
 [0.06 0.06]]",[-0.98  0.92],[-0.48  0.51],[1. 1.],[0.34 0.55],[-0.32  0.13],"[[0.02 0.1 ]
 [0.02 0.03]]","[[0.04 0.03]
 [0.08 0.1 ]]","[[ 0.  0.]
 [-0.  0.]]","[[-0.19  0.02]
 [ 0.16 -0.08]]","[[ 0.    0.  ]
 [-0.   -0.01]]",[ 0.05 -0.05],[-0.93  0.87],[0.02 0.02],[-0.46  0.54],[ 0.05 -0.01],[1.05 0.99],[0.05 0.05],[0.39 0.6 ],[-0.03 -0.  ],[-0.35  0.13],[0.03 0.  ],[-0.06  0.63],[0.03 0.03],[0.7 0.3],0.51892036,LPE10885_2023_10_20_5_0092
Dataset 05,892,[-0.2   0.58],"[[-0.02 -0.01]
 [ 0.04 -0.04]]",[0.76 0.34],"[[0.08 0.07]
 [0.08 0.05]]",[-0.88  0.78],[-0.5   0.55],[1. 1.],[0.35 0.58],[-0.99 -0.03],"[[-0.03  0.09]
 [ 0.17 -0.01]]","[[-0.16 -0.07]
 [ 0.07 -0.13]]","[[ 0.01  0.02]
 [ 0.03 -0.06]]","[[ 0.1  -0.09]
 [-0.09 -0.02]]","[[-0.    0.  ]
 [ 0.    0.01]]",[-0.04  0.04],[-0.92  0.82],[-0.05  0.05],[-0.55  0.6 ],[-0.05 -0.05],[0.95 0.95],[0.02 0.01],[0.37 0.58],[-0.03 -0.05],[-1.03 -0.08],[-0.03 -0.  ],[-0.24  0.57],[0.03 0.04],[0.77 0.35],0.27248228,LPE10885_2023_10_20_5_0093
Dataset 05,893,[-0.12  0.65],"[[-0.03 -0.  ]
 [ 0.04 -0.02]]",[0.7  0.28],"[[0.04 0.03]
 [0.08 0.08]]",[-0.99  0.94],[-0.47  0.51],[1. 1.],[0.34 0.57],[-0.47  0.24],"[[ 0.   -0.01]
 [ 0.2  -0.14]]","[[-0.11 -0.05]
 [-0.03  0.1 ]]","[[ 0. -0.]
 [-0.  0.]]","[[-0.03  0.05]
 [ 0.01 -0.07]]","[[ 0.  0.]
 [ 0. -0.]]",[-0.05  0.03],[-1.04  0.97],[ 0.04 -0.02],[-0.43  0.49],[ 0.05 -0.05],[1.05 0.95],[-0.  0.],[0.34 0.57],[-0.05  0.05],[-0.52  0.29],[-0.  0.],[-0.12  0.65],[0.04 0.03],[0.73 0.27],0.44406846,LPE10885_2023_10_20_5_0094
Dataset 05,894,[-0.08  0.63],"[[ 0.02 -0.02]
 [ 0.01 -0.02]]",[0.69 0.31],"[[0.11 0.04]
 [0.07 0.04]]",[-0.99  0.94],[-0.48  0.52],[1. 1.],[0.34 0.55],[-0.28  0.15],"[[-0.1   0.02]
 [-0.   -0.01]]","[[ 0.22 -0.09]
 [ 0.13 -0.1 ]]","[[-0. -0.]
 [-0. -0.]]","[[-0.05 -0.  ]
 [-0.09  0.  ]]","[[-0.    0.  ]
 [-0.   -0.01]]",[ 0.   -0.04],[-0.99  0.89],[-0.05  0.04],[-0.54  0.56],[ 0.05 -0.02],[1.05 0.98],[-0.05 -0.05],[0.29 0.5 ],[0.02 0.02],[-0.26  0.17],[-0.   -0.01],[-0.09  0.62],[0.04 0.04],[0.7  0.29],0.6528449,LPE10885_2023_10_20_5_0095
Dataset 05,895,[-0.08  0.63],"[[-0.   -0.05]
 [ 0.   -0.02]]",[0.69 0.31],"[[0.03 0.05]
 [0.02 0.04]]",[-0.99  0.94],[-0.48  0.53],[1. 1.],[0.34 0.55],[-0.28  0.15],"[[ 0.04 -0.13]
 [ 0.03 -0.05]]","[[-0.03 -0.07]
 [ 0.01 -0.07]]","[[ 0.   -0.  ]
 [ 0.    0.01]]","[[-0.03 -0.04]
 [-0.03  0.02]]","[[-0.    0.  ]
 [ 0.01 -0.  ]]",[-0.05  0.05],[-1.04  0.99],[-0.05  0.04],[-0.54  0.57],[ 0.05 -0.03],[1.05 0.97],[0.01 0.02],[0.35 0.57],[-0.03 -0.01],[-0.31  0.14],[-0.01  0.01],[-0.1   0.65],[0.04 0.03],[0.73 0.31],0.5413134,LPE10885_2023_10_20_5_0096
Dataset 05,896,[-0.19  0.57],"[[-0.04  0.07]
 [ 0.05  0.06]]",[0.75 0.32],"[[0.07 0.06]
 [0.06 0.06]]",[-0.82  0.72],[-0.49  0.55],[1. 1.],[0.35 0.57],[-1.    0.02],"[[-0.09  0.11]
 [ 0.05  0.02]]","[[0.04 0.1 ]
 [0.06 0.15]]","[[ 0.01 -0.01]
 [-0.01 -0.  ]]","[[-0.16  0.14]
 [ 0.15  0.11]]","[[ 0.01  0.01]
 [-0.01  0.  ]]",[-0.05  0.04],[-0.87  0.75],[-0.01  0.05],[-0.5  0.6],[-0.05 -0.05],[0.95 0.95],[0.05 0.05],[0.39 0.62],[ 0.05 -0.01],[-0.94  0.02],[-0.    0.02],[-0.2   0.59],[0.05 0.04],[0.74 0.31],0.55695844,LPE10885_2023_10_20_5_0097
Dataset 05,897,[-0.11  0.65],"[[-0.   -0.  ]
 [-0.02  0.07]]",[0.7  0.28],"[[0.06 0.01]
 [0.1  0.11]]",[-0.99  0.94],[-0.47  0.5 ],[1. 1.],[0.34 0.57],[-0.45  0.24],"[[ 0.05 -0.03]
 [-0.01 -0.04]]","[[-0.11  0.01]
 [-0.2   0.21]]","[[ 0.    0.01]
 [ 0.01 -0.01]]","[[ 0.05 -0.  ]
 [ 0.09  0.19]]","[[-0.    0.01]
 [-0.01  0.  ]]",[ 0.05 -0.01],[-0.94  0.93],[-0.05  0.02],[-0.52  0.52],[0.04 0.04],[1.04 1.04],[0.05 0.05],[0.39 0.61],[-0.04 -0.05],[-0.49  0.19],[0.01 0.01],[-0.1   0.66],[0.04 0.04],[0.72 0.3 ],0.32553038,LPE10885_2023_10_20_5_0098
Dataset 05,898,[-0.16  0.6 ],"[[-0.   -0.06]
 [-0.   -0.03]]",[0.73 0.35],"[[0.06 0.14]
 [0.05 0.11]]",[-0.96  0.89],[-0.49  0.53],[1. 1.],[0.35 0.58],[-0.71 -0.02],"[[-0.1   0.06]
 [ 0.01  0.03]]","[[ 0.03 -0.33]
 [ 0.06 -0.24]]","[[-0.01 -0.  ]
 [-0.   -0.  ]]","[[ 0.07 -0.05]
 [-0.08  0.08]]","[[0.01 0.  ]
 [0.01 0.  ]]",[-0.05  0.05],[-1.01  0.94],[-0.03  0.05],[-0.52  0.58],[-0.03 -0.05],[0.97 0.95],[ 0.05 -0.04],[0.4  0.55],[0.01 0.04],[-0.7   0.03],[-0.01  0.01],[-0.17  0.61],[0.04 0.05],[0.74 0.34],0.5226358,LPE10885_2023_10_20_5_0099
Dataset 05,899,[-0.18  0.69],"[[-0.04 -0.01]
 [ 0.05 -0.  ]]",[0.75 0.27],"[[0.06 0.05]
 [0.06 0.02]]",[-1.    0.98],[-0.5   0.56],[1. 1.],[0.36 0.63],[-0.76  0.28],"[[-0.01  0.08]
 [-0.   -0.02]]","[[-0.02 -0.02]
 [ 0.05  0.03]]","[[-0.01  0.  ]
 [ 0.01 -0.01]]","[[-0.15 -0.09]
 [ 0.17 -0.01]]","[[-0.   -0.  ]
 [ 0.01  0.  ]]",[ 0.04 -0.05],[-0.95  0.92],[ 0.05 -0.04],[-0.45  0.52],[0.03 0.05],[1.03 1.05],[0.01 0.03],[0.36 0.66],[-0.02 -0.05],[-0.78  0.22],[ 0.02 -0.01],[-0.16  0.68],[0.03 0.04],[0.75 0.29],0.31375578,LPE10885_2023_10_20_5_0100
Dataset 05,900,[-0.14  0.61],"[[ 0.03  0.03]
 [-0.02  0.04]]",[0.71 0.34],"[[0.04 0.03]
 [0.07 0.07]]",[-0.97  0.9 ],[-0.48  0.52],[1. 1.],[0.35 0.58],[-0.58  0.04],"[[ 0.03  0.07]
 [ 0.06 -0.02]]","[[ 0.1   0.07]
 [-0.16  0.17]]","[[-0.   -0.01]
 [ 0.01 -0.  ]]","[[ 0.01 -0.  ]
 [ 0.01  0.07]]","[[0.   0.  ]
 [0.01 0.  ]]",[0.05 0.05],[-0.92  0.95],[-0.05  0.05],[-0.53  0.57],[ 0.04 -0.05],[1.04 0.95],[-0.01  0.03],[0.33 0.61],[ 0.05 -0.  ],[-0.53  0.04],[0.02 0.02],[-0.12  0.62],[0.04 0.04],[0.71 0.33],0.5485342,LPE10885_2023_10_20_5_0101
Dataset 05,901,[-0.08  0.63],"[[0.02 0.01]
 [0.   0.01]]",[0.69 0.31],"[[0.04 0.11]
 [0.01 0.04]]",[-0.98  0.93],[-0.48  0.52],[1. 1.],[0.34 0.55],[-0.29  0.14],"[[-0.02 -0.1 ]
 [ 0.01  0.09]]","[[ 0.1   0.22]
 [-0.01 -0.03]]","[[ 0.    0.01]
 [-0.01  0.01]]","[[ 0.   -0.06]
 [ 0.02 -0.01]]","[[ 0.   -0.  ]
 [-0.    0.01]]",[0.04 0.02],[-0.94  0.95],[-0.02  0.05],[-0.5   0.56],[0.05 0.01],[1.05 1.01],[0.03 0.04],[0.36 0.6 ],[-0.03  0.04],[-0.32  0.18],[0.01 0.03],[-0.07  0.66],[0.03 0.02],[0.7 0.3],0.24369676,LPE10885_2023_10_20_5_0102
Dataset 05,902,[-0.2   0.59],"[[-0.08 -0.03]
 [ 0.06  0.  ]]",[0.76 0.37],"[[0.11 0.04]
 [0.07 0.04]]",[-0.94  0.86],[-0.5   0.55],[1. 1.],[0.36 0.59],[-0.9  -0.08],"[[-0.   -0.03]
 [ 0.07  0.02]]","[[-0.16 -0.01]
 [ 0.07 -0.04]]","[[-0.01 -0.  ]
 [-0.   -0.01]]","[[-0.26 -0.1 ]
 [ 0.17  0.06]]","[[ 0.01  0.01]
 [-0.02 -0.02]]",[-0.02  0.05],[-0.96  0.91],[0.02 0.02],[-0.47  0.57],[-0.05  0.05],[0.95 1.05],[0.05 0.05],[0.41 0.64],[-0.01  0.05],[-0.91 -0.02],[0.   0.05],[-0.2   0.63],[0.04 0.01],[0.75 0.37],0.6238149,LPE10885_2023_10_20_5_0103
Dataset 05,903,[-0.08  0.63],"[[-0.01 -0.05]
 [-0.04  0.02]]",[0.69 0.31],"[[0.06 0.13]
 [0.05 0.03]]",[-0.99  0.94],[-0.48  0.52],[1. 1.],[0.34 0.55],[-0.29  0.16],"[[-0.05  0.11]
 [-0.11 -0.  ]]","[[-0.1  -0.27]
 [-0.    0.06]]","[[-0.   -0.  ]
 [-0.   -0.01]]","[[ 0.08 -0.1 ]
 [-0.06  0.06]]","[[ 0.   -0.  ]
 [ 0.   -0.01]]",[-0.05  0.05],[-1.04  0.99],[-0.03 -0.05],[-0.51  0.47],[0.05 0.  ],[1.05 1.  ],[0.03 0.05],[0.37 0.61],[-0.01 -0.04],[-0.29  0.12],[-0.  0.],[-0.08  0.64],[0.04 0.04],[0.72 0.33],0.48239753,LPE10885_2023_10_20_5_0104
Dataset 05,904,[-0.09  0.62],"[[ 0.01 -0.02]
 [-0.01  0.01]]",[0.69 0.31],"[[0.03 0.02]
 [0.04 0.02]]",[-0.98  0.91],[-0.48  0.51],[1. 1.],[0.34 0.55],[-0.34  0.13],"[[ 0.   -0.06]
 [-0.01 -0.02]]","[[ 0.08 -0.03]
 [-0.09  0.05]]","[[ 0.  0.]
 [-0. -0.]]","[[-0.01 -0.03]
 [ 0.03  0.02]]","[[ 0. -0.]
 [-0.  0.]]",[ 0.05 -0.05],[-0.93  0.86],[ 0.05 -0.05],[-0.43  0.46],[ 0.05 -0.05],[1.05 0.95],[-0.05 -0.02],[0.29 0.53],[-0.01 -0.04],[-0.35  0.09],[ 0.02 -0.04],[-0.07  0.58],[0.04 0.01],[0.68 0.31],0.8405881,LPE10885_2023_10_20_5_0105
Dataset 05,905,[-0.21  0.61],"[[ 0.04 -0.03]
 [-0.03 -0.  ]]",[0.77 0.32],"[[0.03 0.04]
 [0.04 0.07]]",[-0.9   0.79],[-0.5   0.57],[1. 1.],[0.35 0.61],[-1.    0.05],"[[ 0.06 -0.03]
 [ 0.02  0.03]]","[[ 0.07 -0.11]
 [-0.04 -0.14]]","[[ 0.01  0.  ]
 [-0.02 -0.01]]","[[ 0.06 -0.04]
 [-0.11  0.09]]","[[-0.01  0.  ]
 [-0.01  0.01]]",[-0.02  0.  ],[-0.92  0.8 ],[-0.05 -0.04],[-0.56  0.52],[-0.05 -0.03],[0.95 0.97],[-0.04 -0.05],[0.32 0.56],[-0.05 -0.01],[-1.05  0.04],[-0.04 -0.03],[-0.25  0.58],[0.01 0.02],[0.77 0.31],0.44776863,LPE10885_2023_10_20_5_0106
Dataset 05,906,[-0.12  0.61],"[[-0.05  0.  ]
 [ 0.01  0.05]]",[0.7  0.34],"[[0.06 0.05]
 [0.02 0.06]]",[-0.98  0.92],[-0.48  0.53],[1. 1.],[0.34 0.57],[-0.46  0.05],"[[-0.17  0.05]
 [-0.02  0.12]]","[[-0.04  0.04]
 [ 0.03  0.11]]","[[ 0.    0.  ]
 [-0.01  0.  ]]","[[-0.05 -0.08]
 [ 0.02 -0.01]]","[[-0. -0.]
 [ 0.  0.]]",[-0.04  0.03],[-1.02  0.94],[-0.01  0.02],[-0.49  0.54],[ 0.05 -0.04],[1.05 0.96],[-0.05 -0.  ],[0.29 0.57],[-0.02  0.04],[-0.48  0.08],[-0.01  0.01],[-0.13  0.62],[0.04 0.03],[0.72 0.32],0.4831102,LPE10885_2023_10_20_5_0107
Dataset 05,907,[-0.13  0.61],"[[ 0.02 -0.08]
 [-0.03  0.02]]",[0.71 0.36],"[[0.07 0.07]
 [0.06 0.01]]",[-0.98  0.93],[-0.49  0.54],[1. 1.],[0.35 0.59],[-0.54 -0.  ],"[[-0.07 -0.15]
 [ 0.05  0.01]]","[[ 0.03 -0.17]
 [-0.03  0.01]]","[[-0.    0.01]
 [-0.03  0.01]]","[[ 0.15 -0.1 ]
 [-0.13  0.04]]","[[-0.  0.]
 [-0.  0.]]",[-0.01  0.01],[-0.99  0.95],[0.05 0.02],[-0.44  0.56],[ 0.02 -0.05],[1.02 0.95],[0.02 0.01],[0.37 0.61],[-0.04 -0.02],[-0.59 -0.02],[ 0.01 -0.  ],[-0.13  0.61],[0.03 0.03],[0.72 0.36],0.643847,LPE10885_2023_10_20_5_0108
Dataset 05,908,[-0.17  0.68],"[[ 0.04 -0.03]
 [-0.01  0.07]]",[0.74 0.27],"[[0.06 0.07]
 [0.03 0.08]]",[-1.    0.97],[-0.49  0.55],[1. 1.],[0.35 0.61],[-0.7   0.29],"[[ 0.15 -0.02]
 [ 0.05  0.12]]","[[-0.02  0.03]
 [-0.02  0.01]]","[[-0.   -0.  ]
 [-0.    0.01]]","[[ 0.05 -0.17]
 [-0.06  0.21]]","[[ 0. -0.]
 [ 0. -0.]]",[-0.03  0.05],[-1.02  1.02],[-0.02 -0.02],[-0.51  0.53],[-0.05  0.04],[0.95 1.04],[0.05 0.05],[0.4  0.66],[ 0.03 -0.04],[-0.66  0.25],[-0.    0.02],[-0.17  0.7 ],[0.04 0.04],[0.73 0.3 ],0.6585706,LPE10885_2023_10_20_5_0109
Dataset 05,909,[-0.11  0.61],"[[ 0.03  0.03]
 [-0.   -0.  ]]",[0.7  0.32],"[[0.04 0.03]
 [0.01 0.02]]",[-0.96  0.89],[-0.48  0.51],[1. 1.],[0.34 0.56],[-0.47  0.1 ],"[[-0.01  0.1 ]
 [-0.02  0.  ]]","[[ 0.09  0.04]
 [-0.01  0.01]]","[[ 0.01  0.01]
 [-0.    0.  ]]","[[ 0.06  0.01]
 [ 0.01 -0.04]]","[[ 0.01 -0.  ]
 [-0.    0.  ]]",[ 0.05 -0.  ],[-0.91  0.88],[ 0.05 -0.05],[-0.43  0.46],[-0.05 -0.05],[0.95 0.95],[-0.03 -0.04],[0.31 0.51],[-0.02  0.05],[-0.49  0.16],[-0.   -0.02],[-0.11  0.59],[0.04 0.04],[0.66 0.29],0.6732223,LPE10885_2023_10_20_5_0110
Dataset 05,910,[-0.18  0.6 ],"[[ 0.03 -0.02]
 [-0.07 -0.02]]",[0.75 0.39],"[[0.05 0.05]
 [0.09 0.07]]",[-0.97  0.91],[-0.5   0.56],[1. 1.],[0.36 0.61],[-0.8 -0.1],"[[ 0.09 -0.01]
 [-0.06  0.09]]","[[-0.04 -0.11]
 [-0.23 -0.13]]","[[ 0.01 -0.01]
 [ 0.01 -0.03]]","[[ 0.09  0.05]
 [-0.05 -0.05]]","[[-0.   -0.  ]
 [ 0.01 -0.  ]]",[-0.05 -0.03],[-1.03  0.89],[-0.03 -0.02],[-0.53  0.53],[-0.01 -0.05],[0.99 0.95],[-0.01  0.05],[0.35 0.66],[0.02 0.05],[-0.78 -0.04],[-0.02  0.  ],[-0.2  0.6],[0.02 0.04],[0.75 0.35],0.52928585,LPE10885_2023_10_20_5_0111
Dataset 05,911,[-0.2   0.59],"[[-0.01 -0.  ]
 [ 0.02  0.02]]",[0.77 0.31],"[[0.05 0.08]
 [0.06 0.04]]",[-0.88  0.77],[-0.5   0.55],[1. 1.],[0.35 0.59],[-1.    0.05],"[[0.07 0.15]
 [0.12 0.  ]]","[[-0.06 -0.07]
 [-0.05  0.1 ]]","[[-0.   -0.03]
 [-0.01  0.  ]]","[[-0.05 -0.06]
 [ 0.05  0.01]]","[[-0. -0.]
 [-0.  0.]]",[-0.04  0.05],[-0.92  0.82],[-0.01  0.05],[-0.51  0.6 ],[-0.05 -0.05],[0.95 0.95],[-0.01 -0.05],[0.34 0.54],[0.05 0.02],[-0.95  0.07],[-0.01  0.01],[-0.22  0.6 ],[0.04 0.04],[0.75 0.3 ],0.33395034,LPE10885_2023_10_20_5_0112
Dataset 05,912,[-0.12  0.7 ],"[[-0.03  0.03]
 [ 0.03  0.03]]",[0.71 0.25],"[[0.04 0.02]
 [0.12 0.07]]",[-1.    0.99],[-0.5   0.56],[1. 1.],[0.35 0.6 ],[-0.44  0.36],"[[ 0.01  0.04]
 [ 0.19 -0.06]]","[[-0.04  0.05]
 [-0.17  0.14]]","[[0. 0.]
 [0. 0.]]","[[-0.11  0.05]
 [ 0.11  0.04]]","[[-0.01  0.  ]
 [-0.    0.  ]]",[-0.02  0.05],[-1.02  1.04],[-0.02  0.01],[-0.52  0.57],[0.05 0.05],[1.05 1.05],[0.05 0.04],[0.4  0.64],[-0.01 -0.04],[-0.45  0.32],[0.01 0.02],[-0.11  0.72],[0.03 0.03],[0.74 0.28],0.69275326,LPE10885_2023_10_20_5_0113
Dataset 05,913,[-0.19  0.63],"[[ 0.   -0.03]
 [-0.02 -0.05]]",[0.75 0.31],"[[0.09 0.06]
 [0.04 0.12]]",[-0.97  0.9 ],[-0.48  0.52],[1. 1.],[0.35 0.6 ],[-0.83  0.14],"[[ 0.02  0.04]
 [ 0.   -0.  ]]","[[-0.15 -0.15]
 [-0.1  -0.28]]","[[ 0.03 -0.04]
 [-0.   -0.01]]","[[ 0.11 -0.  ]
 [ 0.    0.06]]","[[ 0.01 -0.01]
 [ 0.   -0.01]]",[ 0.05 -0.01],[-0.92  0.89],[-0.05  0.05],[-0.53  0.57],[-0.05  0.05],[0.95 1.05],[-0.02  0.05],[0.34 0.65],[-0.05 -0.04],[-0.88  0.1 ],[-0.02  0.02],[-0.21  0.65],[0.04 0.04],[0.73 0.33],0.1130941,LPE10885_2023_10_20_5_0114
Dataset 05,914,[-0.16  0.63],"[[ 0.03  0.04]
 [-0.01  0.02]]",[0.73 0.3 ],"[[0.03 0.05]
 [0.06 0.06]]",[-0.97  0.9 ],[-0.47  0.5 ],[1. 1.],[0.35 0.58],[-0.69  0.16],"[[ 0.    0.  ]
 [ 0.   -0.02]]","[[ 0.03  0.14]
 [-0.11  0.14]]","[[0.01 0.  ]
 [0.   0.01]]","[[ 0.08  0.03]
 [ 0.06 -0.02]]","[[ 0.  0.]
 [-0. -0.]]",[ 0.03 -0.05],[-0.94  0.85],[ 0.05 -0.02],[-0.42  0.48],[-0.05 -0.05],[0.95 0.95],[-0.05 -0.03],[0.3  0.55],[-0.02 -0.04],[-0.71  0.12],[-0.01 -0.04],[-0.16  0.59],[0.04 0.01],[0.7  0.29],0.72474927,LPE10885_2023_10_20_5_0115
Dataset 05,915,[-0.1   0.64],"[[ 0.   -0.03]
 [-0.01 -0.  ]]",[0.69 0.29],"[[0.07 0.02]
 [0.05 0.03]]",[-0.98  0.92],[-0.47  0.5 ],[1. 1.],[0.34 0.56],[-0.38  0.22],"[[ 0.06 -0.05]
 [ 0.02 -0.05]]","[[-0.12 -0.05]
 [-0.11  0.01]]","[[ 0.    0.  ]
 [-0.    0.01]]","[[ 0.09 -0.03]
 [ 0.04  0.02]]","[[-0.   -0.  ]
 [ 0.01 -0.  ]]",[ 0.05 -0.03],[-0.93  0.89],[-0.02  0.01],[-0.5   0.51],[0.05 0.01],[1.05 1.01],[0.04 0.05],[0.38 0.61],[-0.01 -0.05],[-0.38  0.17],[ 0.02 -0.  ],[-0.07  0.64],[0.03 0.03],[0.7  0.29],0.6295897,LPE10885_2023_10_20_5_0116
Dataset 05,916,[-0.12  0.67],"[[ 0.05  0.05]
 [-0.01  0.  ]]",[0.71 0.27],"[[0.08 0.04]
 [0.07 0.01]]",[-1.    0.97],[-0.48  0.53],[1. 1.],[0.35 0.58],[-0.47  0.29],"[[-0.04  0.09]
 [-0.07 -0.02]]","[[0.1  0.07]
 [0.11 0.02]]","[[ 0.   -0.  ]
 [ 0.    0.01]]","[[ 0.17  0.07]
 [-0.07 -0.01]]","[[-0.    0.01]
 [ 0.    0.01]]",[-0.05 -0.01],[-1.05  0.96],[-0.03  0.04],[-0.52  0.57],[0.02 0.04],[1.02 1.04],[0.01 0.05],[0.36 0.64],[0.01 0.04],[-0.46  0.33],[-0.01  0.03],[-0.13  0.71],[0.03 0.02],[0.73 0.26],0.68142116,LPE10885_2023_10_20_5_0117
Dataset 05,917,[-0.15  0.58],"[[ 0.04  0.04]
 [ 0.01 -0.02]]",[0.71 0.32],"[[0.08 0.07]
 [0.05 0.02]]",[-0.89  0.78],[-0.47  0.51],[1. 1.],[0.34 0.56],[-0.71  0.05],"[[-0.02 -0.02]
 [-0.02 -0.01]]","[[ 0.2   0.16]
 [-0.05 -0.04]]","[[-0.01  0.01]
 [ 0.    0.  ]]","[[ 0.    0.06]
 [ 0.1  -0.03]]","[[ 0.   -0.01]
 [ 0.01 -0.  ]]",[ 0.05 -0.05],[-0.84  0.74],[-0.01 -0.03],[-0.48  0.47],[-0.01  0.01],[0.99 1.01],[ 0.04 -0.05],[0.38 0.5 ],[-0.04 -0.04],[-0.75  0.01],[ 0.01 -0.03],[-0.14  0.55],[0.03 0.02],[0.71 0.33],0.3888992,LPE10885_2023_10_20_5_0118
Dataset 05,918,[-0.13  0.7 ],"[[ 0.01  0.01]
 [-0.   -0.02]]",[0.71 0.25],"[[0.05 0.1 ]
 [0.04 0.02]]",[-1.    0.99],[-0.5   0.55],[1. 1.],[0.35 0.6 ],[-0.5   0.35],"[[ 0.   -0.17]
 [-0.05 -0.02]]","[[-0.05  0.1 ]
 [-0.01 -0.01]]","[[-0.  0.]
 [-0. -0.]]","[[ 0.09  0.09]
 [ 0.07 -0.05]]","[[-0.    0.01]
 [-0.    0.  ]]",[0.01 0.01],[-0.99  1.  ],[ 0.05 -0.05],[-0.45  0.5 ],[0.03 0.05],[1.03 1.05],[-0.05  0.04],[0.3  0.64],[-0.04  0.03],[-0.54  0.38],[0.   0.02],[-0.13  0.72],[0.04 0.04],[0.71 0.27],0.702668,LPE10885_2023_10_20_5_0119
Dataset 05,919,[-0.12  0.61],"[[-0.05 -0.1 ]
 [ 0.05  0.01]]",[0.7  0.31],"[[0.06 0.1 ]
 [0.05 0.06]]",[-0.96  0.87],[-0.47  0.5 ],[1. 1.],[0.34 0.55],[-0.51  0.12],"[[-0.01 -0.21]
 [ 0.01  0.08]]","[[-0.12 -0.24]
 [ 0.11 -0.09]]","[[-0.   -0.01]
 [-0.   -0.  ]]","[[-0.14 -0.06]
 [ 0.12  0.06]]","[[ 0.01 -0.  ]
 [ 0.01 -0.  ]]",[-0.05  0.05],[-1.01  0.92],[-0.01  0.05],[-0.48  0.55],[0.05 0.04],[1.05 1.04],[ 0.05 -0.01],[0.39 0.55],[0.04 0.05],[-0.46  0.17],[0.02 0.04],[-0.1   0.64],[0.04 0.02],[0.73 0.31],0.36861366,LPE10885_2023_10_20_5_0120
Dataset 05,920,[-0.2   0.57],"[[ 0.03 -0.05]
 [-0.01  0.01]]",[0.76 0.33],"[[0.05 0.05]
 [0.11 0.08]]",[-0.85  0.74],[-0.5   0.55],[1. 1.],[0.35 0.57],[-1.  0.],"[[ 0.11 -0.09]
 [ 0.19 -0.12]]","[[ 0.07 -0.11]
 [-0.12  0.11]]","[[ 0.01  0.  ]
 [-0.01 -0.  ]]","[[-0.04 -0.07]
 [-0.1   0.07]]","[[-0.   -0.  ]
 [-0.   -0.01]]",[-0.05  0.05],[-0.9  0.8],[ 0.02 -0.05],[-0.48  0.5 ],[-0.05 -0.04],[0.95 0.96],[0.03 0.05],[0.38 0.62],[-0.    0.01],[-1.    0.01],[-0.01  0.  ],[-0.21  0.58],[0.04 0.04],[0.76 0.32],0.59618175,LPE10885_2023_10_20_5_0121
